Symbol,Security,SEC filings,GICS Sector,GICS Sub Industry,Headquarters Location,CIK
MMM,3M Company,reports,Industrials,Industrial Conglomerates,"St. Paul, Minnesota",66740
ABT,Abbott Laboratories,reports,Health Care,Health Care Equipment,"North Chicago, Illinois",1800
ABBV,AbbVie Inc.,reports,Health Care,Pharmaceuticals,"North Chicago, Illinois",1551152
ABMD,ABIOMED Inc,reports,Health Care,Health Care Equipment,"Danvers, Massachusetts",815094
ACN,Accenture plc,reports,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",1467373
ATVI,Activision Blizzard,reports,Communication Services,Interactive Home Entertainment,"Santa Monica, California",718877
ADBE,Adobe Systems Inc,reports,Information Technology,Application Software,"San Jose, California",796343
AMD,Advanced Micro Devices Inc,reports,Information Technology,Semiconductors,"Santa Clara, California",2488
AAP,Advance Auto Parts,reports,Consumer Discretionary,Automotive Retail,"Raleigh, North Carolina",1158449
AES,AES Corp,reports,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",874761
AFL,AFLAC Inc,reports,Financials,Life & Health Insurance,"Columbus, Georgia",4977
A,Agilent Technologies Inc,reports,Health Care,Health Care Equipment,"Santa Clara, California",1090872
APD,Air Products & Chemicals Inc,reports,Materials,Industrial Gases,"Allentown, Pennsylvania",2969
AKAM,Akamai Technologies Inc,reports,Information Technology,Internet Services & Infrastructure,"Cambridge, Massachusetts",1086222
ALK,Alaska Air Group Inc,reports,Industrials,Airlines,"Seattle, Washington",766421
ALB,Albemarle Corp,reports,Materials,Specialty Chemicals,"Charlotte, North Carolina",915913
ARE,Alexandria Real Estate Equities,reports,Real Estate,Office REITs,"Pasadena, California",1035443
ALXN,Alexion Pharmaceuticals,reports,Health Care,Biotechnology,"Boston, Massachusetts",899866
ALGN,Align Technology,reports,Health Care,Health Care Supplies,"San Jose, California",1097149
ALLE,Allegion,reports,Industrials,Building Products,"Dublin, Ireland",1579241
AGN,"Allergan, plc",reports,Health Care,Pharmaceuticals,"Dublin, Ireland",1578845
ADS,Alliance Data Systems,reports,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",1101215
LNT,Alliant Energy Corp,reports,Utilities,Electric Utilities,"Madison, Wisconsin",352541
ALL,Allstate Corp,reports,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",899051
GOOGL,Alphabet Inc Class A,reports,Communication Services,Interactive Media & Services,"Mountain View, California",1652044
GOOG,Alphabet Inc Class C,reports,Communication Services,Interactive Media & Services,"Mountain View, California",1652044
MO,Altria Group Inc,reports,Consumer Staples,Tobacco,"Richmond, Virginia",764180
AMZN,Amazon.com Inc.,reports,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",1018724
AMCR,Amcor plc,reports,Materials,Paper Packaging,"Warmley, Bristol, United Kingdom",1748790
AEE,Ameren Corp,reports,Utilities,Multi-Utilities,"St. Louis, Missouri",1002910
AAL,American Airlines Group,reports,Industrials,Airlines,"Fort Worth, Texas",6201
AEP,American Electric Power,reports,Utilities,Electric Utilities,"Columbus, Ohio",4904
AXP,American Express Co,reports,Financials,Consumer Finance,"New York, New York",4962
AIG,American International Group,reports,Financials,Property & Casualty Insurance,"New York, New York",5272
AMT,American Tower Corp.,reports,Real Estate,Specialized REITs,"Boston, Massachusetts",1053507
AWK,American Water Works Company Inc,reports,Utilities,Water Utilities,"Camden, New Jersey",1410636
AMP,Ameriprise Financial,reports,Financials,Asset Management & Custody Banks,"Minneapolis, Minnesota",820027
ABC,AmerisourceBergen Corp,reports,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",1140859
AME,AMETEK Inc.,reports,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",1037868
AMGN,Amgen Inc.,reports,Health Care,Biotechnology,"Thousand Oaks, California",318154
APH,Amphenol Corp,reports,Information Technology,Electronic Components,"Wallingford, Connecticut",820313
ADI,"Analog Devices, Inc.",reports,Information Technology,Semiconductors,"Norwood, Massachusetts",6281
ANSS,ANSYS,reports,Information Technology,Application Software,"Canonsburg, Pennsylvania",1013462
ANTM,Anthem,reports,Health Care,Managed Health Care,"Indianapolis, Indiana",1156039
AON,Aon plc,reports,Financials,Insurance Brokers,"London, United Kingdom",315293
AOS,A.O. Smith Corp,reports,Industrials,Building Products,"Milwaukee, Wisconsin",91142
APA,Apache Corporation,reports,Energy,Oil & Gas Exploration & Production,"Houston, Texas",6769
AIV,Apartment Investment & Management,reports,Real Estate,Residential REITs,"Denver, Colorado",922864
AAPL,Apple Inc.,reports,Information Technology,"Technology Hardware, Storage & Peripherals","Cupertino, California",320193
AMAT,Applied Materials Inc.,reports,Information Technology,Semiconductor Equipment,"Santa Clara, California",6951
APTV,Aptiv PLC,reports,Consumer Discretionary,Auto Parts & Equipment,"Dublin, Ireland",1521332
ADM,Archer-Daniels-Midland Co,reports,Consumer Staples,Agricultural Products,"Chicago, Illinois",7084
ARNC,Arconic Inc.,reports,Industrials,Aerospace & Defense,"New York, New York",4281
ANET,Arista Networks,reports,Information Technology,Communications Equipment,"Santa Clara, California",1596532
AJG,Arthur J. Gallagher & Co.,reports,Financials,Insurance Brokers,"Itasca, Illinois",354190
AIZ,Assurant,reports,Financials,Multi-line Insurance,"New York, New York",1267238
ATO,Atmos Energy Corp,reports,Utilities,Gas Utilities,"Dallas, Texas",731802
T,AT&T Inc.,reports,Communication Services,Integrated Telecommunication Services,"Dallas, Texas",732717
ADSK,Autodesk Inc.,reports,Information Technology,Application Software,"San Rafael, California",769397
ADP,Automatic Data Processing,reports,Information Technology,Internet Services & Infrastructure,"Roseland, New Jersey",8670
AZO,AutoZone Inc,reports,Consumer Discretionary,Specialty Stores,"Memphis, Tennessee",866787
AVB,"AvalonBay Communities, Inc.",reports,Real Estate,Residential REITs,"Arlington, Virginia[3]",915912
AVY,Avery Dennison Corp,reports,Materials,Paper Packaging,"Glendale, California",8818
BKR,Baker Hughes Co,reports,Energy,Oil & Gas Equipment & Services,"Houston, Texas",1701605
BLL,Ball Corp,reports,Materials,Metal & Glass Containers,"Broomfield, Colorado",9389
BAC,Bank of America Corp,reports,Financials,Diversified Banks,"Charlotte, North Carolina",70858
BK,The Bank of New York Mellon Corp.,reports,Financials,Asset Management & Custody Banks,"New York, New York",1390777
